,Neighbors
pseudo_51_410.0_1708.0_5_abs_absolute,[]
pseudo_51_410.0_1708.0_6_abs_absolute,[]
pseudo_51_410.0_1708.0_7_abs_absolute,[]
pseudo_51_410.0_1708.0_8_abs_absolute,[]
pseudo_53_510.0_208.0_0_abs_absolute,[]
pseudo_53_510.0_208.0_1_abs_absolute,[]
pseudo_53_510.0_208.0_2_abs_absolute,[]
pseudo_53_510.0_208.0_3_abs_absolute,[]
pseudo_53_510.0_208.0_4_abs_absolute,[]
pseudo_53_510.0_208.0_5_abs_absolute,"['pseudo_276_1810.0_408.0', 'pseudo_73_610.0_508.0']"
pseudo_53_510.0_208.0_6_abs_absolute,[]
pseudo_53_510.0_208.0_7_abs_absolute,[]
pseudo_53_510.0_208.0_8_abs_absolute,[]
pseudo_54_510.0_308.0_0_abs_absolute,[]
pseudo_54_510.0_308.0_1_abs_absolute,[]
pseudo_54_510.0_308.0_2_abs_absolute,[]
pseudo_54_510.0_308.0_3_abs_absolute,"['pseudo_138_1010.0_208.0', 'pseudo_243_1610.0_508.0']"
pseudo_54_510.0_308.0_4_abs_absolute,[]
pseudo_54_510.0_308.0_5_abs_absolute,['pseudo_211_1410.0_708.0']
pseudo_54_510.0_308.0_6_abs_absolute,[]
pseudo_54_510.0_308.0_7_abs_absolute,[]
pseudo_54_510.0_308.0_8_abs_absolute,[]
pseudo_55_510.0_408.0_0_abs_absolute,[]
pseudo_55_510.0_408.0_1_abs_absolute,[]
pseudo_55_510.0_408.0_2_abs_absolute,[]
pseudo_55_510.0_408.0_3_abs_absolute,[]
pseudo_55_510.0_408.0_4_abs_absolute,[]
pseudo_55_510.0_408.0_5_abs_absolute,['pseudo_187_1210.0_1708.0']
pseudo_55_510.0_408.0_6_abs_absolute,[]
pseudo_55_510.0_408.0_7_abs_absolute,[]
pseudo_55_510.0_408.0_8_abs_absolute,['pseudo_79_610.0_1108.0']
pseudo_56_510.0_508.0_0_abs_absolute,[]
pseudo_56_510.0_508.0_1_abs_absolute,[]
pseudo_56_510.0_508.0_2_abs_absolute,['pseudo_60_510.0_908.0']
pseudo_56_510.0_508.0_3_abs_absolute,['pseudo_197_1310.0_1008.0']
pseudo_56_510.0_508.0_4_abs_absolute,[]
pseudo_56_510.0_508.0_5_abs_absolute,[]
pseudo_56_510.0_508.0_6_abs_absolute,[]
pseudo_56_510.0_508.0_7_abs_absolute,[]
pseudo_56_510.0_508.0_8_abs_absolute,['pseudo_159_1110.0_608.0']
pseudo_57_510.0_608.0_0_abs_absolute,"['pseudo_111_810.0_908.0', 'pseudo_208_1410.0_408.0', 'pseudo_230_1510.0_908.0', 'pseudo_68_510.0_1708.0']"
pseudo_57_510.0_608.0_1_abs_absolute,"['pseudo_102_710.0_1708.0', 'pseudo_280_1810.0_808.0']"
pseudo_57_510.0_608.0_2_abs_absolute,[]
pseudo_57_510.0_608.0_3_abs_absolute,[]
pseudo_57_510.0_608.0_4_abs_absolute,[]
pseudo_57_510.0_608.0_5_abs_absolute,['pseudo_149_1010.0_1308.0']
pseudo_57_510.0_608.0_6_abs_absolute,[]
pseudo_57_510.0_608.0_7_abs_absolute,['pseudo_264_1710.0_908.0']
pseudo_57_510.0_608.0_8_abs_absolute,[]
pseudo_58_510.0_708.0_0_abs_absolute,[]
pseudo_58_510.0_708.0_1_abs_absolute,[]
pseudo_58_510.0_708.0_2_abs_absolute,['pseudo_282_1810.0_1008.0']
pseudo_58_510.0_708.0_3_abs_absolute,[]
pseudo_58_510.0_708.0_4_abs_absolute,[]
pseudo_58_510.0_708.0_5_abs_absolute,[]
pseudo_58_510.0_708.0_6_abs_absolute,[]
pseudo_58_510.0_708.0_7_abs_absolute,"['pseudo_212_1410.0_808.0', 'pseudo_261_1710.0_608.0', 'pseudo_56_510.0_508.0']"
pseudo_58_510.0_708.0_8_abs_absolute,['pseudo_195_1310.0_808.0']
pseudo_59_510.0_808.0_0_abs_absolute,[]
pseudo_59_510.0_808.0_1_abs_absolute,"['pseudo_148_1010.0_1208.0', 'pseudo_230_1510.0_908.0', 'pseudo_276_1810.0_408.0', 'pseudo_77_610.0_908.0']"
pseudo_59_510.0_808.0_2_abs_absolute,[]
pseudo_59_510.0_808.0_3_abs_absolute,[]
pseudo_59_510.0_808.0_4_abs_absolute,[]
pseudo_59_510.0_808.0_5_abs_absolute,"['pseudo_104_810.0_208.0', 'pseudo_87_710.0_208.0']"
pseudo_59_510.0_808.0_6_abs_absolute,[]
pseudo_59_510.0_808.0_7_abs_absolute,[]
pseudo_59_510.0_808.0_8_abs_absolute,[]
pseudo_60_510.0_908.0_0_abs_absolute,[]
pseudo_60_510.0_908.0_1_abs_absolute,"['pseudo_279_1810.0_708.0', 'pseudo_57_510.0_608.0']"
pseudo_60_510.0_908.0_2_abs_absolute,[]
pseudo_60_510.0_908.0_3_abs_absolute,['pseudo_197_1310.0_1008.0']
pseudo_60_510.0_908.0_4_abs_absolute,[]
pseudo_60_510.0_908.0_5_abs_absolute,"['pseudo_127_910.0_808.0', 'pseudo_278_1810.0_608.0']"
pseudo_60_510.0_908.0_6_abs_absolute,[]
pseudo_60_510.0_908.0_7_abs_absolute,[]
pseudo_60_510.0_908.0_8_abs_absolute,[]
pseudo_61_510.0_1008.0_0_abs_absolute,[]
pseudo_61_510.0_1008.0_1_abs_absolute,[]
pseudo_61_510.0_1008.0_2_abs_absolute,[]
pseudo_61_510.0_1008.0_3_abs_absolute,"['pseudo_191_1310.0_408.0', 'pseudo_216_1410.0_1208.0', 'pseudo_90_710.0_508.0']"
pseudo_61_510.0_1008.0_4_abs_absolute,"['pseudo_113_810.0_1108.0', 'pseudo_114_810.0_1208.0', 'pseudo_135_910.0_1608.0', 'pseudo_182_1210.0_1208.0', 'pseudo_250_1610.0_1208.0', 'pseudo_252_1610.0_1408.0', 'pseudo_255_1610.0_1708.0']"
pseudo_61_510.0_1008.0_5_abs_absolute,[]
pseudo_61_510.0_1008.0_6_abs_absolute,[]
pseudo_61_510.0_1008.0_7_abs_absolute,[]
pseudo_61_510.0_1008.0_8_abs_absolute,[]
pseudo_62_510.0_1108.0_0_abs_absolute,[]
pseudo_62_510.0_1108.0_1_abs_absolute,[]
pseudo_62_510.0_1108.0_2_abs_absolute,[]
pseudo_62_510.0_1108.0_3_abs_absolute,[]
pseudo_62_510.0_1108.0_4_abs_absolute,[]
pseudo_62_510.0_1108.0_5_abs_absolute,"['pseudo_151_1010.0_1508.0', 'pseudo_217_1410.0_1308.0', 'pseudo_281_1810.0_908.0', 'pseudo_64_510.0_1308.0']"
pseudo_62_510.0_1108.0_6_abs_absolute,[]
pseudo_62_510.0_1108.0_7_abs_absolute,[]
pseudo_62_510.0_1108.0_8_abs_absolute,[]
pseudo_63_510.0_1208.0_0_abs_absolute,['pseudo_213_1410.0_908.0']
pseudo_63_510.0_1208.0_1_abs_absolute,['pseudo_209_1410.0_508.0']
pseudo_63_510.0_1208.0_2_abs_absolute,[]
pseudo_63_510.0_1208.0_3_abs_absolute,[]
pseudo_63_510.0_1208.0_4_abs_absolute,[]
pseudo_63_510.0_1208.0_5_abs_absolute,[]
pseudo_63_510.0_1208.0_6_abs_absolute,[]
pseudo_63_510.0_1208.0_7_abs_absolute,[]
